,code,topic,description,possible_cause,Diagnostic
134,P0482 ," Fan 3 Control Circuit
"," Monitors the MFC primary circuit output from the powertrain control module (PCM). The test fails, when the MFC output is commanded on (grounded) and excessive current draw is detected on the MFC circuit; or when the MFC circuit is commanded off and voltage is not detected on the MFC circuit (the PCM expects to detect IGN START/RUN voltage through the medium speed FC relay coil to the MFC circuit).","[' Open or short MFC circuit ', ' Open IGN START/RUN circuit to the medium speed FC relay', ' Damaged medium speed FC relay']"," When the MFCF PID reads YES, a concern is currently present. An open circuit or short toground can only be detected when the PCM is not grounding the MFC circuit. A short to voltage can only be detected when the PCM is grounding the MFC circuit. During the key on engine off (KOEO) and key on engine running (KOER) self-test, the MFC circuit is cycled on and off. Use output test mode to command the low speed/high speed fan on. The PCM also activates the medium speed fan output."
135,P0483 ," Fan Performance
"," The fan control module, referred to as the cooling fan motor, indicates a cooling fan motor stall or cooling fan motor overheat condition.","[' Cooling fan motor mechanical concerns', ' Obstructions']",Check for a mechanical concern with the cooling fan motor or for obstructions limiting the cooling fan motor operation.
136,P0491 ," Secondary Air Injection (AIR) System Insufficient Flow (Bank 1)
",The secondary AIR system detected that there was insufficient mass air flow changeduring pump switching (ON/OFF).,"[' Secondary AIR pump with no or low air flow ', ' Secondary AIR bypass solenoid leaking/blocked or stuck open/closed', ' Secondary AIR diverter valve leaking/blocked or stuck open/closed', ' Secondary AIR air hose restricted', ' Secondary AIR vacuum hoes restricted or leaking']",Measured air flow is less than expected. Visually inspect the secondary AIR inlet hose.
137,P0500 ," Vehicle Speed Sensor (VSS) A
"," Indicates the powertrain control module (PCM) detected an error in the vehicle speed information. Vehicle speed data is received from either the VSS, the transfer case speed sensor (TCSS) or the anti-lock brake system (ABS) control module. If the engine RPM is above the torque converter stall speed (automatic transmission) and the engine load is high, it can be inferred that the vehicle must be moving. If there is insufficient vehicle speed data input, a concern is indicated and a DTC is set. On most vehicle applications the malfunction indicator lamp (MIL) is illuminated when this DTC is set.","['Open in the VSS+/VSS- harness circuit ', 'Open in the TCSS signal or the TCSS signal return harness circuit', 'Short to GND in the VSS harness circuit', 'Short to GND in the TCSS harness circuit', 'Short to PWR in the VSS harness circuit', 'Short to PWR in the TCSS harness circuit', 'Damaged drive mechanism for VSS or TCSS', 'Damaged VSS or TCSS', 'Damaged wheel speed sensors', 'Damaged wheel speed sensor harness circuits', 'Damage in the module(s) connected to the VSC/VSS circuit', ' Open or short in the vehicle speed circuit VSS signal between the ABS VSSsignal output and the VSS signal inputs to the PCM and other modules (F-SuperDuty)']","Monitor the VSS PID while driving the vehicle. This DTC is set when the PCM detects a sudden loss of vehicle speed signal over a period of time. If vehicle speed data is lost, check the source of the vehicle speed input: VSS, TCSS or ABS. Note: On some manual shift-on-the-fly (MSOF) applications, VSS and TCSS PID can be monitored. However if no TCSS PID is available and VSS PID is zero, TCSS circuitry frequency must be checked for loss of sensor signal. If another vehicle electronic module has generated the P0500 and the vehicle does not receive its vehicle speed input from the VSS, TCSS or ABS, check the PCM for output shaft speed (OSS) sensor DTCs. On OSS applications the PCM uses the OSS to calculate the vehicle speed. If no OSS DTCs are found check for correct PCM configuration, tire size and axle ratio."
138,P0503 ," Vehicle Speed Sensor (VSS) A Intermittent/Erratic/High
","   Indicates poor or noisy VSS performance. Vehicle speed data is received   from either the VSS, the transfer case speed sensor (TCSS), or the anti-   lock brake system (ABS) control module.","[' Noisy VSS/TCSS input signal from the radio frequency interference / electromagnetic interference (RFI/EMI) external sources, such as ignition components or the charging circuit ', ' Damaged VSS or driven gears ', ' Damaged TCSS ', ' Damaged wiring harness or connectors ', ' Malfunction in the module(s) or circuit connected to the VSS/TCSS circuit ', ' Aftermarket add-on']","Monitor the VSS PID while driving the vehicle, and check for intermittent vehicle speed indication. Verify the ignition and charging systems are functioning correctly."
139,P0505 ," Idle Air Control (IAC) System
For Vehicles With Electronic Throttle Control (ETC)
","The powertrain control module (PCM) attempts to control engine speed during thekey on, engine running (KOER) self-test. The test fails when the desired RPM couldnot be reached or controlled during the self-test.","[' Failure mode effects management (FMEM) condition is present', ' Intake air restriction', ' Exhaust restriction', ' Sludged throttle body', ' Vacuum leaks', ' Damaged electronic throttle body (ETB)', ' Damaged PCM']"," This DTC is informational only and it may be accompanied by other DTCs. Diagnoseother DTCs first. If other DTCs are not present inspect the intake air system for airrestrictions, vacuum leaks, and damage. If no concerns are present, clear the DTCand carry out the KOER self-test.For All Others"
140,P0506 ," Idle Air Control (IAC) System RPM Lower Than Expected
For Vehicles With Electronic Throttle Control (ETC)
",  This DTC is set when the powertrain control module (PCM) detects an engine idle  speed that is less than the desired RPM.,"[' Intake air restriction', ' Vacuum leaks', ' Exhaust restriction', ' Engine mechanical concern', ' Sludged throttle body', ' Damaged electronic throttle body (ETB)', ' Damaged PCM']"," This DTC is informational only and it may be accompanied by other DTCs. Diagnoseother DTCs first. If other DTCs are not present inspect the intake air system for airrestrictions and damage. If no concerns are present, clear the DTC and carry out theKOER self-test.For All Others"
141,P0507 ," Idle Air Control (IAC) System RPM Higher Than Expected
For Vehicles With Electronic Throttle Control (ETC)
",  This DTC is set when the powertrain control module (PCM) detects an engine idle  speed that is greater than the desired RPM.,"[' Intake air leak after throttle body', ' Vacuum leaks', ' Damaged EVAP system', ' EGR valve leaks vacuum', ' Damaged electronic throttle body (ETB)', ' Damaged PCM']"," This DTC is informational only and it may be accompanied by other DTCs. Diagnoseother DTCs first. If other DTCs are not present inspect the intake air system for air orvacuum leaks and damage. If no concerns are present, clear the DTC and repeat theself-test.For All Others"
142,P050A ," Cold Start Idle Air Control Performance
"," The cold start emission reduction monitor has detected an airflow performance deficiency. The cold start emission reduction monitor validates the operation of the components of the   system required to achieve the cold start emission reduction strategy, retarded spark timing   (P050B) and elevated idle airflow (P050A). When the idle airflow test portion of the cold   start emission reduction strategy is enabled, the idle air control system requests a higher   idle RPM to increase the engine airflow. The cold start emission reduction monitor   compares the actual airflow measured by the MAF sensor to the requested PCM airflow.   The DTC is set when the airflow is less than the calibrated limit.","[' Damaged intake air system tubes', ' Restricted air filter ', ' Restricted or blocked idle air control or intake passages ', ' Air or vacuum leaks ', ' Base engine problem']"," This DTC is an informational DTC and may be accompanied by other DTCs. Diagnose otherDTCs first. If other DTCs are not present inspect the intake air system for air restrictions and damage. If no concerns are present, clear the DTCs and repeat the self-test. The cold start emission reduction monitor runs during a cold start. Before repeating the self- test, a 2 to 3 hour soak period is required for the cold start emission reduction monitor to run at start up."
143,P050B ," Cold Start Ignition Timing Performance
", The cold start ignition timing performance has a functional response test of actual spark timing angle actual versus commanded spark timing in the powertrain control module (PCM).,"[' Spark timing ', ' Spark capture circuit ', ' Spark timing monitor ', ' Spark capture circuit monitor']",Diagnose all other powertrain related DTCs first.
144,P050E ," Cold Start Engine Exhaust Temperature Out of Range
For Vehicles With Electronic Throttle Control (ETC)
",  The powertrain control module (PCM) calculates the actual catalyst warm up  temperature during a cold start. The PCM then compares the actual temperature to the  expected catalyst temperature model. The difference between the actual and expected  temperatures is a ratio. When this ratio exceeds the calibrated value this DTC is set  and the malfunction indicator lamp (MIL) illuminates.,"['Intake air restriction ', 'Exhaust restriction', 'Engine mechanical concern', 'Damaged or sludged electronic throttle body (ETB)', 'Vacuum leaks', 'Damaged PCM']","This DTC is informational only and it may be accompanied by other DTCs. Diagnose other DTCs first. If other DTCs are not present inspect the intake air system for air restrictions, vacuum leaks, and damage. If no concerns are present, clear the DTC and carry out the key ON, engine running (KOER) self-test.For All Others"
145,P0511 ," Idle Air Control (IAC) Circuit
",   This DTC is set when the powertrain control module (PCM) detects an electrical load   failure on the IAC output circuit.,"[' IAC circuit open ', ' VPWR to IAC solenoid open', ' B+ or VPWR to IAC solenoid open', ' IAC circuit shorted to PWR ', 'Damaged IAC valve ', 'IAC circuit short to GND']",
146,P0528 ," Fan Speed Sensor Circuit No Signal
","   The powertrain control module (PCM) uses the fan speed sensor (FSS) input to monitor   the cooling fan clutch speed. If the indicated fan speed is lower than the calibrated value   during the key on engine running (KOER) self-test, the DTC is set.","['FSS VPWR circuit open in the harness', 'FSS PWRGND circuit open in the harness ', 'FSS circuit open in the harness ', 'FSS circuit short to voltage or ground in the harness ', 'Damaged FSS sensor ', 'Damaged PCM']", Visually inspect the cooling fan clutch for damage or obstruction.
147,P0532 ," A/C Refrigerant Pressure Sensor A Circuit Low
",The ACP sensor inputs a voltage to the powertrain control module (PCM). If the voltageis below the calibrated level the DTC sets.,"['ACP circuit short to GND or SIGRTN', 'VREF circuit open ', 'Open ACP circuit ', 'Damaged ACP sensor']",Verify the VREF voltage is between 4 and 6 volts.
148,P0533 ," A/C Refrigerant Pressure Sensor A Circuit High
", The ACP sensor inputs a voltage to the powertrain control module (PCM). If the voltage is above a calibrated level the DTC sets.,"[' ACP sensor circuit short to PWR', ' ACP circuit open ', ' ACP circuit short to VREF ', ' Damaged ACP sensor']", Verify the VREF voltage is between 4 and 6 volts.
149,P0534 ," A/C Refrigerant Charge Loss
", Indicates frequent A/C compressor clutch cycling.,"[' Mechanical A/C system concern (such as low refrigerant charge, damaged A/Ccycling switch) ', ' Intermittent open between the cycling pressure switch and the powertrain control module (PCM) ', ' Intermittent open in the IGN RUN circuit to cycling pressure switch (if applicable)']"," This test is designed to protect the transmission. In some strategies, the PCM unlocks thetorque converter during A/C clutch engagement. If a concern is present that results in frequent A/C clutch cycling, damage could occur if the torque converter is cycled at these intervals. This test detects this condition, sets the DTC and prevents the torque converter from excessive cycling."
150,P0537 ," A/C Evaporator Temperature Sensor Circuit Low
", Indicates the ACET signal input was less than the self-test minimum. The self-test minimum is 0.13 volts.,"['ACET circuit short to ground or SIG RTN ', 'Damaged ACET sensor']"," The powertrain control module (PCM) sources a low current 5 volts on the ACET circuit(this voltage can be measured with the sensor disconnected). As the A/C evaporator air temperature changes, the ACET circuit resistance to SIG RTN (ground) changes (which changes the voltage the PCM detects). When the ACET signal is detected below the self- test minimum, check for shorts to the SIG RTN or ground, which would pull the voltage low."
151,P0538 ," A/C Evaporator Temperature Sensor Circuit High
", Indicates the ACET signal input was greater than the self-test maximum. The self-test maximum is 4.5 volts.,"['ACET circuit open', 'SIG RTN circuit open to the ACET sensor ', 'ACET circuit short to voltage (VREF) ', 'Damaged ACET sensor']"," The powertrain control module (PCM) sources a low current 5 volts on the ACET circuit(this voltage can be measured with the sensor disconnected). As the A/C evaporator air temperature changes, the ACET circuit resistance to SIG RTN (ground) changes (which changes the voltage the PCM detects). When the ACET signal is detected above the self- test maximum, check for open circuits (ACET or SIG RTN), which would cause the voltage to remain high. Although not as probable, also check for a short to voltage (VREF)."
152,P0552 ," Power Steering Pressure (PSP) Sensor/Switch Circuit Low
",   Indicates the PSP sensor input signal was less than the self-test minimum.,"[' PSP sensor damaged', ' SIG RTN circuit open', ' VREF circuit open or shorted', ' PSP sensor signal circuit open or shorted']",View the PSP PID to monitor the PSP input.
153,P0553 ," Power Steering Pressure (PSP) Sensor Circuit High Input
",   Indicates the PSP sensor input signal was greater than the self-test maximum.,"[' PSP sensor damaged', ' VREF circuit shorted to voltage', ' PSP sensor signal circuit open', ' PSP sensor signal circuit shorted to voltage']",View the PSP PID to monitor the PSP input.
154,P0579 ," Cruise Control Multifunction Input A Circuit Range / Performance
",,[], 
155,P0581 ," Cruise Control Multifunction Input A Circuit High
",,[], 
156,P0600 ," Serial Communication Link
",Indicates an error occurred in the powertrain control module (PCM). This DTC may beset alone or in combination with P2105.,[' Damaged PCM'],
157,P0602 ," Powertrain Control Module (PCM) Programming Error
",   This DTC indicates a programming error within the vehicle ID (VID) block.,['VID data corrupted by the scan tool during VID reprogramming']," Using the scan tool, reprogram the VID block. If the PCM does not allow reprogrammingof the VID block, reflashing of the PCM is required."
158,P0603 ," Internal Control Module Keep Alive Memory (KAM) Error
","   Indicates the powertrain control module (PCM) has experienced an internal memory   concern. However, there are external items that can cause this DTC.","['Reprogramming', 'Battery terminal corrosion ', 'KAPWR to PCM interrupt/open ', 'Loose battery connection']"," If KAPWR is interrupted to the PCM because of a battery or PCM disconnect, this DTCcan be generated on the first power-up."
159,P0604 ," Internal Control Module Random Access Memory (RAM) Error
", Indicates the powertrain control module (PCM) RAM has been corrupted.,"[' Module reprogramming ', ' Aftermarket performance products.', ' Damaged PCM']",
160,P0605 ," Internal Control Module Read Only Memory (ROM) Error
", The powertrain control module (PCM) ROM has been corrupted.,"[' An attempt was made to change the calibration ', ' Module programming error', ' Damaged PCM']",
161,P0606 ," Control Module Processor
", This DTC indicates a register readback (powertrain control module [PCM] internal communications) error.,[' Damaged PCM'],Internal PCM concern. Install a new PCM.
162,P0607 ," Control Module Performance
"," Indicates that the powertrain control module (PCM) internal central processing unit (CPU) has encountered an error. The PCM monitors itself and carries out internal checks of its own CPU. If any of these checks returns an incorrect value, the DTC is set.","[' Module programming error ', ' Aftermarket performance products', ' Damaged PCM']",
163,P060A ," Internal Control Module Monitoring Processor Performance
", Indicates an error occurred in the powertrain control module (PCM). This DTC is set in combination with P2105.,"[' Software incompatibility issue ', ' Damaged PCM']", Verify the PCM is at the latest calibration level.
164,P060B ," Internal Control Module A/D Processing Performance
", Indicates an error occurred in the powertrain control module (PCM). This DTC is set in combination with P2104 or P2110.,[' Damaged PCM'], Inspect the harness for damage. Verify correct operation of the sensors using VREF andrelated circuits.
165,P060C ," Internal Control Module Main Processor Performance
",Indicates an error occurred in the powertrain control module (PCM).,"[' Software incompatibility issue', ' Damaged PCM']",Verify the PCM is at the latest calibration level.
166,P0610 ," Control Module Vehicle Options Error
",Indicates a powertrain control module (PCM) vehicle options error.,"[' Module reprogramming', ' Aftermarket performance products.', ' PCM']", 
167,P061B ," Internal Control Module Torque Calculation Performance
",   Indicates a calculation error occurred in the powertrain control module (PCM).,[],Check for sensor and circuit related DTCs. Do not install a new electronic throttle body (ETB) for this DTC.
168,P061C ," Internal Control Module Engine RPM Performance
",   Indicates a calculation error occurred in the powertrain control module (PCM).,"[' Crankshaft position (CKP) sensor circuit is open or short', ' CKP sensor circuit intermittent', ' Damaged CKP sensor', ' Camshaft position (CMP) sensor circuit is open or short', ' CMP sensor circuit intermittent', ' Damaged CMP sensor', ' Damaged PCM']",Verify correct operation of the CKP and CMP sensors and related circuits.
169,P061D ," Internal Control Module Engine Air Mass Performance
",   Indicates an error occurred in the powertrain control module (PCM).,"[' Software incompatibility issue', ' Damaged PCM']",Verify the PCM is at the latest calibration level.
170,P061F ," Internal Control Module Throttle Actuator Controller Performance
",   Indicates an error occurred in the powertrain control module (PCM).,[],Verify correct operation of the electronic throttle control (ETC) components and related circuits.
171,P0620 ," Generator Control Circuit
", The powertrain control module (PCM) reads the GENLI and sends a DTC through the network when the GENLI indicates a concern.,"[' I-line control (ILC) circuit short to ground', ' ILC circuit short to voltage ', ' ILC circuit open ', ' GENLI circuit short to voltage or ground ', ' GENLI circuit open ', ' B+ circuit open ', ' Generator drive mechanism ', ' Damaged generator/regulator assembly ', ' Damaged PCM']", Verify the battery voltage is 14.5 volts. Verify the generator/regulator has the correct partnumber.
172,P0622 ," Generator Field Terminal Circuit
","   The powertrain control module (PCM) monitors the generator load from the   generator/regulator in the form of frequency. The frequency range is determined by the   temperature of the voltage regulator, where 97% indicates a full load, and less than 6%   indicates no load.","[' GENLI circuit short to voltage or ground', ' GENLI circuit open ', ' GENRC circuit short to voltage or ground ', ' GENRC circuit open ', ' ILC circuit short to voltage or ground ', ' ILC circuit open ', ' Battery-sense circuit open ', ' Generator drive mechanism ', 'Damaged generator/regulator assembly ', 'Damaged PCM']", Verify the battery voltage is 14.5 volts. Verify the generator/regulator has the correct partnumber.
173,P0625 ," Generator Field Terminal Circuit Low
",   The powertrain control module (PCM) monitors generator load from the generator/regulator   in the form of frequency. The concern indicates the input is lower than the load should be   in normal operation. The load input could be low when no generator output exists.,"['GENRC circuit short to ground', 'GENLI circuit short to ground ', 'Open B+ wire during operation ', 'Low system voltage ', 'Broken generator belt ', 'Damaged generator/regulator assembly']", Verify the battery voltage is 14.5 volts. Verify the generator/regulator has the correct partnumber.
174,P0626 ," Generator Field Terminal Circuit High
",   The powertrain control module (PCM) monitors generator load from the generator/regulator   in the form of frequency. The concern indicates the input is higher than the load should be   in normal operation. The load input could be high when a battery short to ground exists.,"['GENLI circuit short to voltage', 'GENRC circuit short to voltage ', 'B+ open prior to start-up ', 'Open GENRC prior to start-up ', 'Open ILC prior to start-up']", Verify the battery voltage is 14.5 volts. Verify the generator/regulator has the correct partnumber.
175,P062C ," Internal Control Module Vehicle Speed Performance
",   Indicates an error occurred in the powertrain control module (PCM).,"[' Module communications network concerns', ' Output shaft speed (OSS) sensor concern ', ' Turbine shaft speed (TSS) sensor concern ', ' Anti-lock brake system (ABS) concern']","Repair any ABS DTCs, ABS-related DTCs in other modules, or vehicle communication concerns."
176,P0642 ," Sensor Reference Voltage A Circuit Low
",   Indicates the reference voltage (VREF) circuit is lower than VREF minimum.,"[' VREF short to ground ', ' Damaged sensor ', ' Incorrect harness connection']",This DTC is set due to an under voltage condition on the VREF circuit.
177,P0643 ," Sensor Reference Voltage A Circuit High
",   Indicates the reference voltage (VREF) circuit is higher than VREF maximum.,"[' VREF short to voltage ', ' Damaged sensor ', ' Incorrect harness connection']",This DTC is set due to an over voltage condition on the VREF circuit.
178,P0645 ," Air Conditioning Clutch Relay (A/CCR) Control Circuit
"," Monitors the A/CCR circuit output from the powertrain control module (PCM). The test fails when the PCM grounds the A/CCR circuit, excessive current draw is detected on the A/CCR circuit; or, with the A/CCR circuit not grounded by the PCM, voltage is not detected on the A/CCR circuit (the PCM expects to detect VPWR voltage coming through the A/CCR relay coil to the A/CCR circuit).","['Open or short A/CCR circuit', 'Damaged A/CCR relay ', 'Open VPWR circuit to the A/CCR relay']"," The A/CCR control circuit can be monitored using the WACF and WAC PID.When the WACF PID reads YES, a concern is present. An open circuit or short to ground can only be detected when the PCM is not grounding the circuit. A short to voltage can only be detected when the PCM is grounding the circuit. During the key on engine off (KOEO) and key on engine running (KOER) self-test, the WAC circuit is cycled on and off. Verify the A/C and the defrost were OFF during the KOEO and KOER self-tests. Check ACCS the PID to verify. If the vehicle is not equipped with A/C, ignore DTC P0645."
179,P0657 ," Actuator Supply Voltage A Circuit/Open
",   Voltage to all transmission solenoids has been interrupted.,[],"Refer to the Workshop Manual Section 307-01, Automatic Transmission."
180,P0660 , Intake Manifold Tuning Valve (IMTV) Control Circuit Open ,"   The IMTV system is monitored for failure during continuous, key on engine off (KOEO), or   key on engine running (KOER) self-tests. The test fails when the signal is more or less   than an expected calibrated range.","['IMTV signal circuit open, shorted to PWR GND or SIG RTN', 'Damaged IMTV actuator']", An IMTVM PID reading may indicate a fault.
181,P0663 , Intake Manifold Tuning Valve (IMTV) Control Circuit Open ,"   The IMTV system is monitored for failure during continuous, key on engine off (KOEO), or   key on engine running (KOER) self-tests. The test fails when the signal is more or less   than an expected calibrated range.","['IMTV signal circuit open, shorted to PWR GND or SIG RTN', 'Damaged IMTV actuator']", An IMTVM PID reading may indicate a fault.
182,P0685 ," Electronic Control Module (ECM)/Powertrain Control Module (PCM) Power Relay Control
Circuit/Open
","   This DTC sets when the ignition switch position run (ISP-R) circuit indicates the key is in   the OFF, ACC, or LOCK position, and the amount of time the PCM remains powered   through the PCM power relay exceeds a predetermined amount of time.","['PCM relay control (PCMRC) circuit short to ground in the harness', 'Damaged PCM power relay']"," Ability to communicate with the PCM when the key is in the OFF, ACC, or LOCK positionindicates a hard fault."
183,P0689 ," Electronic Control Module (ECM)/Powertrain Control Module (PCM) Power Relay Sense
Circuit Low
","   This DTC sets when the passive anti theft system (PATS) system indicates the key is in   ON or START position and the ignition switch position run (ISP-R) circuit indicates OFF,   ACC, or LOCK position.","['Ignition circuit fuse', 'ISP-R circuit open in the harness ', 'ISP-R circuit short to ground in the harness ', 'Damaged ignition switch ', 'Damaged PATS system']", Diagnose and repair all PATS DTCs first.
184,P0690 ," Electronic Control Module (ECM)/Powertrain Control Module (PCM) Power Relay Sense
Circuit High
","   This DTC sets when the passive anti theft system (PATS) system indicates the key is in   the OFF, ACC, or LOCK position and the ignition switch position run (ISP-R) circuit   indicates ON or START position.","['ISP-R circuit short to voltage in the harness', 'Damaged PATS system ', 'Damaged ignition switch']", Diagnose and repair all PATS DTCs first.
185,P0703 ," Brake Switch B Input Circuit
",   Indicates the powertrain control module (PCM) did not receive a brake pedal position   (BPP) input.,"[' Open or short in the BPP circuit ', ' Open or short in the stoplamp circuits ', ' Damage in module(s) connected to the BPP circuit. ', ' Damaged brake switch ', ' Misadjusted brake switch']","Check for proper function of the stoplamps. Using a scan tool, check the BPP PID. The stoplamps and PID should toggle on and off with brake pedal activation."
186,P0704 ," Clutch Switch Input Circuit
",   When the clutch pedal is applied the voltage goes to low. If the powertrain control module   (PCM) does not see this change from high to low the DTC is set.,"['Clutch pedal position (CPP) circuit short to voltage', 'Damaged CPP switch ', 'CPP circuit open in the SIGRTN']"," When the clutch pedal is applied and then released, the CPP switch voltage should cycle."
187,P0705 ," Transmission Range Sensor A Circuit (PRNDL) Input
",,[], 
188,P0707 ," Transmission Range Sensor A Circuit Low
",,[], 
189,P0708 ," Transmission Range Sensor A Circuit High
",,[], 
190,P071x ," Transmission Code
",,[], 
191,P0720 ," Output Shaft Speed (OSS) Sensor Circuit
",   The OSS sensor inputs a signal to the powertrain control module (PCM) based on the   speed of the output shaft of the transmission.,"[' OSS sensor circuit short to GND', ' OSS sensor circuit short to PWR ', ' OSS sensor circuit open ', ' Damaged OSS sensor']", Verify the sensor signal output varies with the vehicle speed.
192,P0721 ," Output Shaft Speed (OSS) Sensor Circuit Range/Performance
",   The OSS sensor signal is very sensitive to noise. This noise distorts the input to the   powertrain control module (PCM).,"[' Wiring misrouted', ' Aftermarket add-on ', ' Wiring damaged ', ' Wiring insulation wear']",Check the routing of the harness. Check the wiring and the connector for damage.
193,P0722 ," Output Shaft Speed (OSS) Sensor Circuit No Signal
", The OSS sensor failed to provide a signal to the PCM upon initial movement of vehicle.,"[' Damaged OSS connector ', ' Damaged OSS sensor, or not installed properly ', ' Harness intermittently shorted or open']","Check the wiring, connector, and sensor for damage."
194,P0723 ," Output Shaft Speed (OSS) Sensor Circuit Intermittent
",  The OSS sensor signal to the PCM is irregular or interrupted.,"[' Harness connector not properly seated', ' Harness intermittently shorted or open', ' Harness connector damaged', ' OSS sensor damaged, or not installed properly']", Verify harness and connector integrity.Verify proper installation of the OSS sensor.
195,P073x ," Transmission Code
",,[], 
196,P074x ," Transmission Code
",,[], 
197,P075x ," Transmission Code
",,[], 
198,P076x ," Transmission Code
",,[], 
199,P077x ," Transmission Code
",,[], 
200,P078x ," Transmission Code
",,[], 
201,P079x ," Transmission Code
",,[], 
202,P0815 ," Upshift Switch Circuit
",,[], 
203,P0830 ," Clutch Pedal Switch A Circuit
", The powertrain control module (PCM) monitors the clutch pedal position bottom of travel (CPP-BT) switch only during the calibrated engine speed range (cranking speed range). This DTC is set when the CPP-BT switch does not indicate that the clutch is disengaged (clutch pedal pressed) when the engine is cranked.,"[' Damaged CPP-BT switch', ' Damaged CPP-BT harness ', ' Open PWRGND circuit to the CPP-BT switch ', ' Vehicle push-started with the clutch engaged (clutch pedal released) ', ' Aftermarket remote starting device']", Verify that the vehicle was not push-started with the clutch engaged. Check for aftermarketequipment such as remote starting devices which may bypass the clutch pedal position switch when cranking the engine.
204,P0833 ," Clutch Pedal Switch B Circuit
", The powertrain control module (PCM) monitors the clutch pedal position top of travel (CPP- TT) switch only during the calibrated engine speed range (cranking speed range). This DTC is set when the CPP-TT does not indicate that the clutch is disengaged (clutch pedal pressed) when the engine is cranked.,"['Damaged CPP-TT switch', 'Damaged CPP-TT harness ', 'Open PWRGND circuit to the CPP-TT switch ', 'Vehicle push-started with the clutch engaged (clutch pedal released) ', 'Aftermarket remote starting device']", Verify that the vehicle was not push-started with the clutch engaged. Check for aftermarketequipment such as remote starting devices which may bypass the clutch pedal position switch when cranking the engine.
205,P0840 ," Transmission Fluid Pressure Sensor/Switch A Circuit
",,[], 
206,P09xx ," Transmission Code
",,[], 
207,P1000 , On, The OBD monitors are carried out during the OBD drive cycle. DTC P1000 is stored in continuous memory if any of the OBD monitors do not carry out their full diagnostic check.,"[' The vehicle is new from the factory', ' Battery or powertrain control module (PCM) had recently been disconnected ', ' An OBD monitor concern occurred before completion of an OBD drive cycle ', ' PCM DTCs have recently been cleared with a scan tool ', ' Power take off (PTO) circuit concern or PTO is on during testing.']"," This DTC, inspection/maintenance (I/M) readiness function is part of the PCM strategy. Abattery disconnection or clearing codes using a scan tool results in the various I/M readiness bits being set to a not-ready condition. As each non-continuous OBD monitor completes a full diagnostic check, the I/M readiness bit associated with that monitor is set to a ready condition. This may take 1 or 2 drive cycles based on whether concerns are detected or not. The readiness bits for comprehensive component monitoring (CCM), misfire, and fuel system monitoring are considered complete once all the non-continuous monitors have been evaluated. Because the EVAP and secondary air injection (AIR) system monitors require certain ambient conditions to run, special logic can bypass the monitor for the purpose of clearing the EVAP/secondary AIR system I/M readiness bit, due to continued presence of these extreme conditions. DTC P1000 does not need to be cleared from the PCM except to pass an I/M test. The malfunction indicator lamp (MIL) flashes after a period of time with the key in the RUN position (engine not running) if DTC P1000 is set."
208,P1001 ," Key On Engine Running (KOER) Not Able To Complete, KOER Aborted
",  This non-malfunction indicator lamp (MIL) DTC is set when the KOER self-test does not  complete in the time allowed.,"[' Incorrect self-test procedure', ' Unexpected response from the self-test monitors ', ' RPM out of specification']","Carry out the KOEO self-test. Refer to Section 3 , Step 1: Powertrain Control Module (PCM) Quick Test."
209,P1100 ," Mass Air Flow (MAF) Sensor Circuit Intermittent
"," The MAF sensor circuit is monitored by the powertrain control module (PCM) for sudden voltage (or air flow) input change through the comprehensive component monitor (CCM). If during the last 40 warm-up cycles in key on, engine running (KOER) the PCM detects a voltage (or air flow) change beyond the minimum or maximum calibrated limit, a continuous memory DTC is stored.","['Poor continuity through the MAF sensor connectors', 'Poor continuity through the MAF sensor harness ', 'Intermittent open or short inside the MAF sensor']"," While accessing the MAF V PID on the scan tool, lightly tap on the MAF sensor or wigglethe MAF sensor connector and harness. If the MAF V PID suddenly changes below 0.23 volt or above 4.60 volts, an intermittent fault is indicated."
210,P1101 , Mass Air Flow (MAF) Sensor Out of Self," The MAF sensor circuit is monitored by the powertrain control module (PCM) for an out of range air flow (or voltage) input. If, during key on engine off (KOEO), the air flow voltage signal is greater than 0.27 volt the test fails. Likewise, if, during key on engine running (KOER), the air flow voltage signal is not within 0.46 volt to 2.44 volts, the test fails.","['Low battery charge', 'MAF sensor partially connected ', 'MAF sensor contamination ', 'PWR GND open to the MAF sensor ', 'MAF RTN circuit open to PCM ', 'Damaged MAF sensor']", A MAF V PID reading greater than 0.27 volt (KOEO) or a MAF V PID reading outside the0.46 volt to 2.44 volts range (KOER) indicates a hard fault.
211,P1112 ," Intake Air Temperature (IAT) Circuit Intermittent
", Indicates the IAT sensor signal was intermittent.,"[' Damaged harness', ' Damaged sensor ', ' Damaged harness connector']", Monitor the IAT on a scan tool. Look for sudden changes in the reading when theharness is wiggled or the sensor is tapped.
212,P1114 ," Intake Air Temperature 2 (IAT2) Circuit Low (Supercharged/Turbocharged engines)
",   Indicates the sensor signal is less than the self-test minimum. The IAT2 sensor minimum   is 0.2 volt.,"[' Grounded circuit in the harness', ' Incorrect harness connection ', ' Damaged sensor']"," Monitor the IAT2 PID value. A typical IAT2 temperature should be greater than the IAT1temperature. Refer to Section 6 , Reference Values."
